Job_ID | Title | Department | Required_Skills | Experience_Level | Location | Description_Snippet
J001 | Senior Cloud Solutions Architect | Cloud & Infrastructure | AWS, Azure, GCP, Terraform, Kubernetes, Docker, CI/CD, Microservices, Networking | Senior | New York, NY | Design and implement scalable cloud architectures for enterprise clients migrating from on-premise to hybrid cloud environments.
J002 | Data Engineer (ETL & Pipelines) | Data & Analytics | Python, SQL, Apache Spark, Airflow, Hadoop, ETL, Data Warehousing, Snowflake | Mid-Level | Austin, TX | Build robust data pipelines to ingest, process, and transform large datasets for business intelligence and machine learning models.
J003 | Junior IT Business Analyst | Strategy & Advisory | SQL, Excel, JIRA, Confluence, Requirements Gathering, Agile, Stakeholder Management, Data Visualization | Junior | Chicago, IL | Bridge the gap between business stakeholders and technical teams by translating business needs into functional system requirements.
J004 | Lead DevOps Engineer | Cloud & Infrastructure | Linux, Ansible, Jenkins, GitLab CI, Prometheus, Grafana, AWS, Python, Bash | Senior | Remote (US) | Oversee the automation of infrastructure provisioning, configuration management, and deployment pipelines for fintech clients.
J005 | Cybersecurity Risk Consultant | Security & Compliance | Risk Assessment, NIST, ISO 27001, SIEM, Firewall, Vulnerability Scanning, Penetration Testing basics | Mid-Level | Washington D.C. | Evaluate client security postures, perform gap analyses against compliance frameworks, and recommend remediation strategies.
J006 | Full Stack Developer (React/Node) | Software Engineering | JavaScript, TypeScript, React, Node.js, Express, MongoDB, REST APIs, Git | Mid-Level | San Francisco, CA | Develop end-to-end web applications for healthcare clients, focusing on user experience and HIPAA-compliant data handling.
J007 | ERP Implementation Specialist | Enterprise Solutions | SAP, Oracle, ERP Finance, Supply Chain Management, Business Process Reengineering, SQL | Senior | Dallas, TX | Lead the configuration and rollout of enterprise resource planning modules to streamline client manufacturing and finance operations.
J008 | Machine Learning Operations (MLOps) Engineer | Data & Analytics | Python, MLflow, Kubeflow, Docker, TensorFlow, PyTorch, Model Monitoring, Feature Stores | Mid-Level | Boston, MA | Operationalize machine learning models, ensuring seamless integration from development to production with robust monitoring.
J009 | Project Manager (Agile/Scrum) | Program Management | PMP, Agile, Scrum, JIRA, MS Project, Risk Management, Budgeting, Client Communication | Senior | Atlanta, GA | Manage cross-functional teams delivering digital transformation projects, ensuring timely delivery and client satisfaction.
J010 | Quality Assurance (QA) Automation Engineer | Software Engineering | Selenium, Python, Pytest, JUnit, API Testing (Postman), CI/CD, Test Planning | Junior | Denver, CO | Design and maintain automated test suites for web and mobile applications to ensure high-quality releases for retail clients.
J011 | ServiceNow Developer | IT Service Management | ServiceNow, ITSM, ITOM, JavaScript, REST APIs, HTML, CSS, Flow Designer | Mid-Level | Remote (US) | Customize and configure ServiceNow platforms to automate IT workflows and improve service desk efficiency for corporate clients.
J012 | Technical Product Owner | Strategy & Advisory | Product Roadmap, User Stories, Agile, Data Analysis, Figma, Market Research, Communication | Senior | Los Angeles, CA | Define product vision and prioritize feature backlogs for data-driven software products in the logistics sector.
J013 | Power BI Developer | Data & Analytics | Power BI, DAX, SQL, ETL, Data Modeling, Excel, Dashboard Design, Sharepoint | Junior | Charlotte, NC | Transform raw data into interactive dashboards and reports that provide actionable insights to client executive teams.
J014 | Network Architect | Cloud & Infrastructure | Cisco, Juniper, SD-WAN, BGP, OSPF, Firewalls, Network Security, Load Balancing | Senior | Seattle, WA | Plan and design high-availability network infrastructure for global enterprises undergoing digital connectivity upgrades.
J015 | AI Prompt Engineer (Generative AI) | Emerging Tech | Python, LangChain, OpenAI APIs, Vector Databases (Pinecone), Hugging Face, NLP | Mid-Level | Austin, TX | Develop prompt strategies and fine-tune LLMs to build custom GenAI applications for legal and finance document analysis.
J016 | Cloud Security Engineer | Security & Compliance | AWS Security, IAM, KMS, CloudTrail, GuardDuty, WAF, SIEM, Python | Senior | Herndon, VA | Design and implement security controls for cloud-native applications, ensuring compliance with SOC2 and FedRAMP standards.
J017 | Database Administrator (DBA) | Data & Analytics | MySQL, PostgreSQL, Oracle, MongoDB, Database Tuning, Backup Recovery, Replication, Query Optimization | Mid-Level | Phoenix, AZ | Manage and optimize database performance for high-transaction e-commerce clients, ensuring data integrity and high availability.
J018 | IT Strategy Consultant | Strategy & Advisory | Digital Transformation, Business Strategy, IT Governance, TOGAF, Cost Optimization, Market Analysis | Senior | New York, NY | Advise C-suite executives on IT investment strategies and technology roadmaps to drive business growth and operational efficiency.
J019 | React Native Mobile Developer | Software Engineering | React Native, JavaScript, Redux, iOS, Android, Mobile UI/UX, REST APIs, Firebase | Mid-Level | Miami, FL | Build cross-platform mobile applications for healthcare and wellness startups with focus on performance and user engagement.
J020 | Site Reliability Engineer (SRE) | Cloud & Infrastructure | Kubernetes, Docker, Prometheus, Grafana, Linux, Python, Go, Incident Response, SLIs/SLOs | Senior | Remote (US) | Ensure reliability, scalability, and performance of client microservices through robust monitoring and incident management practices.
J021 | Data Scientist (Predictive Modeling) | Data & Analytics | Python, R, Scikit-learn, XGBoost, Pandas, NumPy, Statistical Analysis, Feature Engineering | Mid-Level | Boston, MA | Develop predictive models for supply chain demand forecasting and customer churn prediction for retail clients.
J022 | Salesforce Developer | Enterprise Solutions | Salesforce, Apex, Visualforce, Lightning Components, SOQL, REST APIs, Sales Cloud, Service Cloud | Mid-Level | Chicago, IL | Customize Salesforce implementations to optimize sales workflows and customer relationship management for B2B clients.
